date,city,weather_desc,temp_min_c,temp_max_c,humidity_pct,wind_kph,precip_mm,precip_prob,alerts,events
2020-09-04,"Constantine, DZ",sunny,17.3,25.0,66.0,13.0,0.0,0.0,,"[{'start_time_local': '15:00', 'event_type': 'football_match', 'title': 'League Match — South Sammie vs Boydcester', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-05,"Constantine, DZ",sunny,19.7,29.7,71.0,12.0,0.0,0.158,,"[{'start_time_local': '15:00', 'event_type': 'football_match', 'title': 'League Match — North Nat vs Madieboro', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-06,"Constantine, DZ",sunny,20.8,30.2,55.0,9.0,0.0,0.0,,[]
2020-09-07,"Constantine, DZ",sunny,23.6,30.1,68.0,21.0,0.0,0.091,,[]
2020-09-08,"Constantine, DZ",sunny,22.8,34.2,48.0,8.0,0.0,0.006,,[]
2020-09-09,"Constantine, DZ",sunny,23.8,37.2,52.0,7.0,0.0,0.047,,"[{'start_time_local': '00:00', 'event_type': 'public_holiday', 'title': 'celebrated Public Holiday', 'description': 'City-wide day off. Families gather; dine-in lunch can increase; delivery rises at dinner.', 'channel_focus': 'all', 'tags': 'holiday|family|leisure'}]"
2020-09-10,"Constantine, DZ",cloudy,5.2,16.1,85.0,18.0,0.0,0.172,,"[{'start_time_local': '', 'event_type': 'tech_news', 'title': 'New Telecom Package', 'description': 'Technology updates.', 'channel_focus': 'all', 'tags': 'tech|events'}]"
2020-09-11,"Constantine, DZ",sunny,11.5,17.1,77.0,21.0,0.0,0.076,,"[{'start_time_local': '21:00', 'event_type': 'football_final', 'title': 'fake Derby — Blaine vs Santa Barbara', 'description': 'High-profile local derby match.', 'channel_focus': 'delivery', 'tags': 'football|derby|sports|prime'}]"
2020-09-12,"Constantine, DZ",sunny,26.5,31.6,54.0,6.0,0.0,0.042,,"[{'start_time_local': '21:00', 'event_type': 'football_match', 'title': 'League Match — North Anthony vs Lake Trishaport', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-13,"Constantine, DZ",sunny,10.0,21.4,71.0,8.0,0.0,0.104,,"[{'start_time_local': '', 'event_type': 'celebrity', 'title': 'Celebrity Visit Rumor', 'description': 'Brand activation.', 'channel_focus': 'delivery', 'tags': 'entertainment|culture'}]"
2020-09-14,"Constantine, DZ",light_rain,2.2,11.6,95.0,20.0,14.6,0.101,,[]
2020-09-15,"Constantine, DZ",sunny,20.8,27.0,53.0,2.0,0.0,0.027,,"[{'start_time_local': '', 'event_type': 'politics', 'title': 'Local Ordinance Proposal', 'description': 'Administrative matters.', 'channel_focus': 'pickup', 'tags': 'politics|civics'}, {'start_time_local': '20:45', 'event_type': 'football_match', 'title': 'League Match — Port Otiliaville vs Beierborough', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-16,"Constantine, DZ",sunny,22.2,34.0,51.0,7.0,0.0,0.043,,"[{'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — Rosinashire vs South Nyasia', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-17,"Constantine, DZ",sunny,3.6,17.0,70.0,19.0,0.0,0.142,,[]
2020-09-18,"Constantine, DZ",sunny,3.5,14.5,75.0,17.0,0.0,0.002,,"[{'start_time_local': '21:00', 'event_type': 'football_match', 'title': 'League Match — Port Jackieshire vs Nehatown', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-19,"Constantine, DZ",sunny,22.8,31.5,52.0,7.0,0.0,0.282,,"[{'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — Auburn vs Hackettland', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-20,"Constantine, DZ",sunny,14.7,27.1,63.0,7.0,0.0,0.191,,[]
2020-09-21,"Constantine, DZ",sunny,3.6,8.6,82.0,17.0,0.0,0.243,,[]
2020-09-22,"Constantine, DZ",sunny,17.4,25.6,61.0,10.0,0.0,0.094,,[]
2020-09-23,"Constantine, DZ",sunny,24.2,34.2,55.0,8.0,0.0,0.021,,"[{'start_time_local': '', 'event_type': 'economy', 'title': 'Quarterly Economic Outlook', 'description': 'Macro commentary.', 'channel_focus': 'all', 'tags': 'economy|business'}]"
2020-09-24,"Constantine, DZ",cloudy,8.6,19.3,85.0,24.0,0.0,0.072,,"[{'start_time_local': '10:38', 'event_type': 'tech_news', 'title': 'Regional Tech Meetup', 'description': 'Academic talk.', 'channel_focus': 'pickup', 'tags': 'tech|events'}]"
2020-09-25,"Constantine, DZ",sunny,2.0,13.3,84.0,12.0,0.0,0.086,,"[{'start_time_local': '', 'event_type': 'politics', 'title': 'Regional Policy Debate Scheduled', 'description': 'Routine policy update.', 'channel_focus': 'pickup', 'tags': 'politics|civics'}, {'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — Archstead vs South Kaiaville', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-26,"Constantine, DZ",light_rain,21.7,33.0,38.0,20.0,20.2,0.169,,"[{'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — Alexandreshire vs Cleoberg', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-09-27,"Constantine, DZ",light_rain,21.2,30.9,54.0,22.0,14.7,0.094,,[]
2020-09-28,"Constantine, DZ",cloudy,3.3,12.3,95.0,11.0,0.0,0.046,,[]
2020-09-29,"Constantine, DZ",sunny,12.5,16.0,75.0,13.0,0.0,0.102,,[]
2020-09-30,"Constantine, DZ",sunny,24.9,34.1,38.0,18.0,0.0,0.035,,[]
2020-10-01,"Constantine, DZ",cloudy,10.7,18.8,88.0,9.0,0.0,0.251,,"[{'start_time_local': '13:38', 'event_type': 'local_news', 'title': 'Neighborhood Cleanup', 'description': 'Civic engagement.', 'channel_focus': 'pickup', 'tags': 'community|city'}]"
2020-10-02,"Constantine, DZ",light_rain,14.4,21.8,73.0,7.0,7.2,0.316,,"[{'start_time_local': '21:00', 'event_type': 'football_match', 'title': 'League Match — North Bessie vs South Roosevelt', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-10-03,"Constantine, DZ",sunny,12.7,26.0,77.0,13.0,0.0,0.083,,[]
2020-10-04,"Constantine, DZ",sunny,18.6,27.6,66.0,17.0,0.0,0.118,,[]
2020-10-05,"Constantine, DZ",sunny,15.4,31.1,53.0,17.0,0.0,0.166,,[]
2020-10-06,"Constantine, DZ",sunny,23.4,30.2,68.0,17.0,0.0,0.102,,[]
2020-10-07,"Constantine, DZ",sunny,19.9,33.1,41.0,8.0,0.0,0.217,,[]
2020-10-08,"Constantine, DZ",sunny,25.8,30.6,51.0,8.0,0.0,0.163,,[]
2020-10-09,"Constantine, DZ",light_rain,24.1,31.3,39.0,4.0,20.1,0.226,,"[{'start_time_local': '21:00', 'event_type': 'football_match', 'title': 'League Match — Cassinburgh vs Fritschside', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-10-10,"Constantine, DZ",cloudy,1.5,10.7,86.0,14.0,0.0,0.232,,"[{'start_time_local': '15:00', 'event_type': 'football_match', 'title': 'League Match — Fort Vicentastad vs East Emmashire', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-10-11,"Constantine, DZ",sunny,12.5,21.5,77.0,15.0,0.0,0.299,,"[{'start_time_local': '', 'event_type': 'economy', 'title': 'Business Chamber Roundtable', 'description': 'Local enterprise meetup.', 'channel_focus': 'pickup', 'tags': 'economy|business'}]"
2020-10-12,"Constantine, DZ",sunny,24.2,32.8,44.0,14.0,0.0,0.119,,"[{'start_time_local': '', 'event_type': 'local_news', 'title': 'Community Center Renovation', 'description': 'Art initiative.', 'channel_focus': 'all', 'tags': 'community|city'}, {'start_time_local': '13:27', 'event_type': 'economy', 'title': 'Fuel Price Adjustment', 'description': 'Macro commentary.', 'channel_focus': 'pickup', 'tags': 'economy|business'}]"
2020-10-13,"Constantine, DZ",sunny,9.9,21.0,65.0,4.0,0.0,0.251,,[]
2020-10-14,"Constantine, DZ",cloudy,4.8,11.7,94.0,22.0,0.0,0.342,,"[{'start_time_local': '17:00', 'event_type': 'football_final', 'title': 'meaty Derby — Israelcester vs Rodrigoview', 'description': 'High-profile local derby match.', 'channel_focus': 'delivery', 'tags': 'football|derby|sports|prime'}]"
2020-10-15,"Constantine, DZ",sunny,18.3,29.8,60.0,16.0,0.0,0.3,,[]
2020-10-16,"Constantine, DZ",sunny,22.1,29.5,70.0,16.0,0.0,0.229,,"[{'start_time_local': '17:30', 'event_type': 'football_match', 'title': 'League Match — Dearborn Heights vs Port America', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-10-17,"Constantine, DZ",sunny,2.4,16.1,84.0,9.0,0.0,0.202,,"[{'start_time_local': '21:00', 'event_type': 'football_final', 'title': 'rotten Derby — Port Juwan vs South Rachaelborough', 'description': 'High-profile local derby match.', 'channel_focus': 'delivery', 'tags': 'football|derby|sports|prime'}]"
2020-10-18,"Constantine, DZ",cloudy,10.5,16.3,86.0,27.0,0.0,0.09,,[]
2020-10-19,"Constantine, DZ",sunny,24.0,31.5,40.0,18.0,0.0,0.194,,"[{'start_time_local': '00:00', 'event_type': 'school_break', 'title': 'School Break', 'description': 'Families at home; lunch dine-in may increase; dinner delivery slightly up.', 'channel_focus': 'all', 'tags': 'school|vacation|family'}]"
2020-10-20,"Constantine, DZ",sunny,18.3,26.4,73.0,10.0,0.0,0.0,,"[{'start_time_local': '00:00', 'event_type': 'school_break', 'title': 'School Break', 'description': 'Families at home; lunch dine-in may increase; dinner delivery slightly up.', 'channel_focus': 'all', 'tags': 'school|vacation|family'}]"
2020-10-21,"Constantine, DZ",cloudy,1.5,8.6,89.0,12.0,0.0,0.14,,"[{'start_time_local': '00:00', 'event_type': 'school_break', 'title': 'School Break', 'description': 'Families at home; lunch dine-in may increase; dinner delivery slightly up.', 'channel_focus': 'all', 'tags': 'school|vacation|family'}]"
2020-10-22,"Constantine, DZ",sunny,15.8,20.0,59.0,21.0,0.0,0.191,,"[{'start_time_local': '', 'event_type': 'economy', 'title': 'Quarterly Economic Outlook', 'description': 'Minor price signal.', 'channel_focus': 'all', 'tags': 'economy|business'}, {'start_time_local': '00:00', 'event_type': 'school_break', 'title': 'School Break', 'description': 'Families at home; lunch dine-in may increase; dinner delivery slightly up.', 'channel_focus': 'all', 'tags': 'school|vacation|family'}]"
2020-10-23,"Constantine, DZ",light_rain,23.5,33.2,57.0,2.0,0.5,0.215,,"[{'start_time_local': '00:00', 'event_type': 'school_break', 'title': 'School Break', 'description': 'Families at home; lunch dine-in may increase; dinner delivery slightly up.', 'channel_focus': 'all', 'tags': 'school|vacation|family'}]"
2020-10-24,"Constantine, DZ",sunny,11.0,20.9,84.0,16.0,0.0,0.131,,"[{'start_time_local': '00:00', 'event_type': 'school_break', 'title': 'School Break', 'description': 'Families at home; lunch dine-in may increase; dinner delivery slightly up.', 'channel_focus': 'all', 'tags': 'school|vacation|family'}]"
2020-10-25,"Constantine, DZ",cloudy,3.6,12.3,95.0,16.0,0.0,0.165,,"[{'start_time_local': '00:00', 'event_type': 'school_break', 'title': 'School Break', 'description': 'Families at home; lunch dine-in may increase; dinner delivery slightly up.', 'channel_focus': 'all', 'tags': 'school|vacation|family'}]"
2020-10-26,"Constantine, DZ",sunny,22.8,26.6,52.0,21.0,0.0,0.167,,"[{'start_time_local': '00:00', 'event_type': 'public_holiday', 'title': 'self-assured Public Holiday', 'description': 'City-wide day off. Families gather; dine-in lunch can increase; delivery rises at dinner.', 'channel_focus': 'all', 'tags': 'holiday|family|leisure'}, {'start_time_local': '18:15', 'event_type': 'economy', 'title': 'Fuel Price Adjustment', 'description': 'Minor price signal.', 'channel_focus': 'delivery', 'tags': 'economy|business'}]"
2020-10-27,"Constantine, DZ",sunny,22.4,34.1,51.0,12.0,0.0,0.167,,"[{'start_time_local': '17:00', 'event_type': 'football_final', 'title': 'respectful Derby — Lenniestead vs Croninport', 'description': 'High-profile local derby match.', 'channel_focus': 'delivery', 'tags': 'football|derby|sports|prime'}]"
2020-10-28,"Constantine, DZ",sunny,4.5,16.4,84.0,15.0,0.0,0.201,,"[{'start_time_local': '18:30', 'event_type': 'football_match', 'title': 'League Match — Kirktown vs Fisherstad', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-10-29,"Constantine, DZ",rain,12.5,18.9,79.0,18.0,31.1,0.255,,[]
2020-10-30,"Constantine, DZ",sunny,23.1,36.1,43.0,7.0,0.0,0.114,,"[{'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — Antioch vs Stuartfurt', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-10-31,"Constantine, DZ",sunny,15.2,20.7,54.0,23.0,0.0,0.164,,"[{'start_time_local': '21:00', 'event_type': 'football_final', 'title': 'astonishing Derby — Karsontown vs West Edwardfield', 'description': 'High-profile local derby match.', 'channel_focus': 'delivery', 'tags': 'football|derby|sports|prime'}]"
2020-11-01,"Constantine, DZ",cloudy,12.8,18.7,88.0,11.0,0.0,0.43,,[]
2020-11-02,"Constantine, DZ",sunny,10.3,22.9,79.0,6.0,0.0,0.49,,[]
2020-11-03,"Constantine, DZ",sunny,13.1,25.5,65.0,10.0,0.0,0.138,,[]
2020-11-04,"Constantine, DZ",sunny,14.5,25.8,72.0,16.0,0.0,0.205,,[]
2020-11-05,"Constantine, DZ",sunny,17.6,27.9,50.0,16.0,0.0,0.469,,"[{'start_time_local': '22:54', 'event_type': 'politics', 'title': 'Municipal Council Budget Review', 'description': 'Civic session announcement.', 'channel_focus': 'all', 'tags': 'politics|civics'}]"
2020-11-06,"Constantine, DZ",light_rain,19.4,29.5,58.0,17.0,15.5,0.194,,[]
2020-11-07,"Constantine, DZ",sunny,18.0,29.6,56.0,3.0,0.0,0.338,,[]
2020-11-08,"Constantine, DZ",light_rain,24.5,33.2,64.0,6.0,8.4,0.22,,[]
2020-11-09,"Constantine, DZ",sunny,24.5,34.4,54.0,13.0,0.0,0.339,,[]
2020-11-10,"Constantine, DZ",sunny,6.9,15.1,75.0,13.0,0.0,0.314,,[]
2020-11-11,"Constantine, DZ",sunny,11.8,21.5,80.0,2.0,0.0,0.234,,[]
2020-11-12,"Constantine, DZ",sunny,24.8,36.9,55.0,13.0,0.0,0.3,,"[{'start_time_local': '00:25', 'event_type': 'economy', 'title': 'Quarterly Economic Outlook', 'description': 'Local enterprise meetup.', 'channel_focus': 'delivery', 'tags': 'economy|business'}]"
2020-11-13,"Constantine, DZ",sunny,10.3,20.1,77.0,20.0,0.0,0.321,,"[{'start_time_local': '00:00', 'event_type': 'public_holiday', 'title': 'scratchy Public Holiday', 'description': 'City-wide day off. Families gather; dine-in lunch can increase; delivery rises at dinner.', 'channel_focus': 'all', 'tags': 'holiday|family|leisure'}, {'start_time_local': '15:00', 'event_type': 'football_match', 'title': 'League Match — Rupertton vs Springdale', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-11-14,"Constantine, DZ",light_rain,1.7,12.1,89.0,18.0,10.9,0.223,,"[{'start_time_local': '15:00', 'event_type': 'football_final', 'title': 'Cup Final — Manchester vs East Lura', 'description': 'Cup final night draws bigger gatherings at home.', 'channel_focus': 'delivery', 'tags': 'football|final|sports|national'}]"
2020-11-15,"Constantine, DZ",sunny,18.9,29.9,66.0,13.0,0.0,0.238,,[]
2020-11-16,"Constantine, DZ",light_rain,22.9,34.2,48.0,15.0,20.1,0.288,,[]
2020-11-17,"Constantine, DZ",cloudy,8.3,11.9,95.0,20.0,0.0,0.307,,[]
2020-11-18,"Constantine, DZ",cloudy,8.4,13.0,95.0,15.0,0.0,0.223,,"[{'start_time_local': '', 'event_type': 'tech_news', 'title': 'University AI Seminar', 'description': 'Technology updates.', 'channel_focus': 'delivery', 'tags': 'tech|events'}]"
2020-11-19,"Constantine, DZ",light_rain,24.2,34.4,50.0,21.0,14.5,0.34,,[]
2020-11-20,"Constantine, DZ",sunny,20.3,25.0,61.0,6.0,0.0,0.373,,"[{'start_time_local': '15:00', 'event_type': 'football_match', 'title': 'League Match — Joycemouth vs Rippintown', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-11-21,"Constantine, DZ",cloudy,3.4,13.1,95.0,23.0,0.0,0.328,,"[{'start_time_local': '01:35', 'event_type': 'local_news', 'title': 'Community Center Renovation', 'description': 'Facilities upgrade.', 'channel_focus': 'all', 'tags': 'community|city'}]"
2020-11-22,"Constantine, DZ",light_rain,11.9,25.5,68.0,3.0,1.2,0.413,,"[{'start_time_local': '', 'event_type': 'celebrity', 'title': 'Celebrity Visit Rumor', 'description': 'Cultural release.', 'channel_focus': 'pickup', 'tags': 'entertainment|culture'}]"
2020-11-23,"Constantine, DZ",sunny,21.4,32.0,59.0,13.0,0.0,0.22,,[]
2020-11-24,"Constantine, DZ",sunny,10.0,23.0,75.0,9.0,0.0,0.259,,[]
2020-11-25,"Constantine, DZ",sunny,3.9,13.1,83.0,11.0,0.0,0.284,,[]
2020-11-26,"Constantine, DZ",sunny,22.8,26.6,55.0,18.0,0.0,0.35,,[]
2020-11-27,"Constantine, DZ",light_rain,23.6,30.8,52.0,7.0,6.2,0.258,,[]
2020-11-28,"Constantine, DZ",cloudy,5.1,13.5,93.0,8.0,0.0,0.248,,[]
2020-11-29,"Constantine, DZ",sunny,10.2,21.7,78.0,7.0,0.0,0.297,,"[{'start_time_local': '15:17', 'event_type': 'economy', 'title': 'Fuel Price Adjustment', 'description': 'Local enterprise meetup.', 'channel_focus': 'pickup', 'tags': 'economy|business'}]"
2020-11-30,"Constantine, DZ",light_rain,25.6,37.1,55.0,16.0,13.3,0.217,,[]
2020-12-01,"Constantine, DZ",light_rain,8.5,19.5,77.0,10.0,11.8,0.458,,"[{'start_time_local': '15:14', 'event_type': 'economy', 'title': 'Fuel Price Adjustment', 'description': 'Local enterprise meetup.', 'channel_focus': 'pickup', 'tags': 'economy|business'}]"
2020-12-02,"Constantine, DZ",sunny,11.3,24.7,74.0,28.0,0.0,0.278,,[]
2020-12-03,"Constantine, DZ",light_rain,12.8,26.9,69.0,9.0,1.0,0.484,,[]
2020-12-04,"Constantine, DZ",sunny,18.6,27.5,68.0,2.0,0.0,0.191,,[]
2020-12-05,"Constantine, DZ",sunny,16.7,29.1,49.0,17.0,0.0,0.222,,"[{'start_time_local': '15:00', 'event_type': 'football_match', 'title': 'League Match — Waterbury vs Hicksville', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-12-06,"Constantine, DZ",light_rain,20.9,27.4,61.0,6.0,10.2,0.547,,[]
2020-12-07,"Constantine, DZ",light_rain,24.2,32.1,56.0,20.0,9.2,0.46,,[]
2020-12-08,"Constantine, DZ",sunny,24.6,31.7,51.0,17.0,0.0,0.281,,[]
2020-12-09,"Constantine, DZ",sunny,22.6,33.2,52.0,6.0,0.0,0.53,,[]
2020-12-10,"Constantine, DZ",light_rain,6.9,9.4,91.0,2.0,5.1,0.304,,[]
2020-12-11,"Constantine, DZ",light_rain,10.0,22.7,82.0,17.0,20.5,0.48,,"[{'start_time_local': '15:00', 'event_type': 'football_match', 'title': 'League Match — Palatine vs Portsmouth', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-12-12,"Constantine, DZ",sunny,27.7,33.4,62.0,9.0,0.0,0.44,,[]
2020-12-13,"Constantine, DZ",light_rain,12.1,22.1,72.0,4.0,4.7,0.518,,[]
2020-12-14,"Constantine, DZ",cloudy,0.3,12.9,94.0,22.0,0.0,0.458,,"[{'start_time_local': '07:12', 'event_type': 'local_news', 'title': 'Public Art Unveiled', 'description': 'Civic engagement.', 'channel_focus': 'all', 'tags': 'community|city'}]"
2020-12-15,"Constantine, DZ",light_rain,19.5,28.9,66.0,11.0,5.5,0.341,,"[{'start_time_local': '', 'event_type': 'economy', 'title': 'Fuel Price Adjustment', 'description': 'Local enterprise meetup.', 'channel_focus': 'pickup', 'tags': 'economy|business'}, {'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — East Salliemouth vs East Athenahaven', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-12-16,"Constantine, DZ",sunny,19.1,33.0,57.0,15.0,0.0,0.403,,"[{'start_time_local': '20:45', 'event_type': 'football_match', 'title': 'League Match — Lake Erickland vs North Amani', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}, {'start_time_local': '21:36', 'event_type': 'tech_news', 'title': 'University AI Seminar', 'description': 'Academic talk.', 'channel_focus': 'delivery', 'tags': 'tech|events'}]"
2020-12-17,"Constantine, DZ",cloudy,6.5,14.9,92.0,16.0,0.0,0.475,,[]
2020-12-18,"Constantine, DZ",sunny,9.2,19.4,79.0,20.0,0.0,0.343,,"[{'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — Lake Vincenza vs New Odessa', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-12-19,"Constantine, DZ",light_rain,21.9,32.3,52.0,16.0,20.7,0.324,,"[{'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — New Cynthiabury vs South Rebeccafort', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-12-20,"Constantine, DZ",light_rain,15.8,25.9,47.0,10.0,6.1,0.442,,[]
2020-12-21,"Constantine, DZ",cloudy,1.6,9.8,87.0,15.0,0.0,0.456,,[]
2020-12-22,"Constantine, DZ",light_rain,13.2,19.9,74.0,13.0,8.7,0.356,,"[{'start_time_local': '20:00', 'event_type': 'football_match', 'title': 'League Match — Nelsonworth vs Goodwinland', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-12-23,"Constantine, DZ",light_rain,24.7,33.8,44.0,16.0,27.2,0.352,,[]
2020-12-24,"Constantine, DZ",sunny,6.2,17.4,78.0,17.0,0.0,0.42,,[]
2020-12-25,"Constantine, DZ",rain,5.1,12.8,72.0,10.0,37.9,0.408,,"[{'start_time_local': '', 'event_type': 'local_news', 'title': 'Public Art Unveiled', 'description': 'Art initiative.', 'channel_focus': 'all', 'tags': 'community|city'}, {'start_time_local': '17:30', 'event_type': 'football_match', 'title': 'League Match — South Vedastad vs Gleichnerberg', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2020-12-26,"Constantine, DZ",sunny,19.0,30.1,66.0,16.0,0.0,0.373,,[]
2020-12-27,"Constantine, DZ",sunny,22.5,29.7,50.0,15.0,0.0,0.253,,[]
2020-12-28,"Constantine, DZ",cloudy,2.0,11.4,86.0,15.0,0.0,0.272,,[]
2020-12-29,"Constantine, DZ",sunny,12.4,19.2,67.0,9.0,0.0,0.443,,[]
2020-12-30,"Constantine, DZ",sunny,24.7,31.5,46.0,21.0,0.0,0.31,,[]
2020-12-31,"Constantine, DZ",sunny,12.8,23.3,73.0,23.0,0.0,0.3,,[]
2021-01-01,"Constantine, DZ",light_rain,9.8,17.8,66.0,16.0,0.7,0.419,,"[{'start_time_local': '15:00', 'event_type': 'football_match', 'title': 'League Match — Lake Dashawnberg vs Roswell', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2021-01-02,"Constantine, DZ",light_rain,10.9,20.6,77.0,20.0,2.7,0.438,,"[{'start_time_local': '20:00', 'event_type': 'football_final', 'title': 'late Derby — Maidastead vs Fort Antoninafield', 'description': 'High-profile local derby match.', 'channel_focus': 'delivery', 'tags': 'football|derby|sports|prime'}]"
2021-01-03,"Constantine, DZ",sunny,16.2,24.4,76.0,2.0,0.0,0.485,,[]
2021-01-04,"Constantine, DZ",sunny,18.1,23.7,53.0,20.0,0.0,0.392,,[]
2021-01-05,"Constantine, DZ",light_rain,17.6,27.1,59.0,30.0,7.8,0.544,,"[{'start_time_local': '', 'event_type': 'economy', 'title': 'Business Chamber Roundtable', 'description': 'Local enterprise meetup.', 'channel_focus': 'pickup', 'tags': 'economy|business'}, {'start_time_local': '15:31', 'event_type': 'economy', 'title': 'Business Chamber Roundtable', 'description': 'Macro commentary.', 'channel_focus': 'pickup', 'tags': 'economy|business'}]"
2021-01-06,"Constantine, DZ",light_rain,21.1,29.6,59.0,11.0,4.9,0.186,,"[{'start_time_local': '17:00', 'event_type': 'football_match', 'title': 'League Match — Ferryboro vs Winnifredstead', 'description': 'Regular league fixture.', 'channel_focus': 'delivery', 'tags': 'football|league|sports'}]"
2021-01-07,"Constantine, DZ",sunny,23.5,32.1,53.0,10.0,0.0,0.324,,[]
